,tweet_id,retweet_count,fav_count
0,892420643555336193,6952,33608
1,892177421306343426,5255,29148
2,891815181378084864,3461,21936
3,891689557279858688,7163,36665
4,891327558926688256,7700,35061
5,891087950875897856,2574,17694
6,890971913173991426,1644,10294
7,890729181411237888,15653,56499
8,890609185150312448,3597,24368
9,890240255349198849,6050,27772
10,890006608113172480,6101,26882
11,889880896479866881,4128,24422
12,889665388333682689,8281,41754
13,889638837579907072,3690,23510
14,889531135344209921,1871,13275
15,889278841981685760,4409,21951
16,888917238123831296,3733,25463
17,888804989199671297,3505,22329
18,888554962724278272,2856,17215
19,888078434458587136,2877,19041
20,887705289381826560,4509,26448
21,887517139158093824,9788,40457
22,887473957103951883,14924,59801
23,887343217045368832,8759,29398
24,887101392804085760,4961,26827
25,886983233522544640,6267,30160
26,886736880519319552,2607,10437
27,886680336477933568,3711,19603
28,886366144734445568,2610,18429
29,886267009285017600,4,103
30,886258384151887873,5234,24382
31,886054160059072513,93,0
32,885984800019947520,5579,28423
33,885528943205470208,5294,31401
34,885518971528720385,3093,17893
35,885311592912609280,15324,0
36,885167619883638784,3642,19128
37,884925521741709313,14911,66761
38,884876753390489601,4628,24230
39,884562892145688576,3886,21176
40,884441805382717440,4768,23731
41,884247878851493888,16777,62783
42,884162670584377345,2488,17835
43,883838122936631299,2844,19036
44,883482846933004288,8198,39938
45,883360690899218434,3058,19823
46,883117836046086144,5502,32298
47,882992080364220416,3222,20850
48,882762694511734784,4070,24625
49,882627270321602560,5027,24466
50,882268110199369728,9555,38949
51,882045870035918850,4056,25557
52,881906580714921986,2835,21324
53,881666595344535552,8891,44249
54,881633300179243008,8,113
55,881536004380872706,13317,43177
56,881268444196462592,4470,20378
57,880935762899988482,2322,14952
58,880872448815771648,3186,18589
59,880465832366813184,5178,24853
60,880221127280381952,3442,23513
61,880095782870896641,3630,24173
62,879862464715927552,2910,19596
63,879674319642796034,9,279
64,879492040517615616,2616,20586
65,879415818425184262,37120,92232
66,879376492567855104,2628,14756
67,879130579576475649,5696,0
68,879050749262655488,3924,19696
